name,0
Shah Rukh Khan,30
Boman Irani,25
Kareena Kapoor Khan,25
Anupam Kher,25
Takahiro Sakurai,22
Paresh Rawal,22
Priyanka Chopra Jonas,21
Nawazuddin Siddiqui,21
Amitabh Bachchan,19
Naseeruddin Shah,19
